edad,edad2,educ,ingreso_total_familiar,num_miembros_hogar,horastrab,pobre,AÑO,ITF
80.0,6400.0,10.0,1038173.2627883162,1,,0,2005,583
26.0,676.0,13.0,801334.4223923539,3,,0,2005,450
27.0,729.0,16.0,801334.4223923539,3,,0,2005,450
,,,801334.4223923539,3,,0,2005,450
71.0,5041.0,8.0,1522535.4025454724,1,,0,2005,855
54.0,2916.0,13.0,9046175.257229239,5,,0,2005,5080
54.0,2916.0,13.0,9046175.257229239,5,,0,2005,5080
27.0,729.0,13.0,9046175.257229239,5,,0,2005,5080
20.0,400.0,13.0,9046175.257229239,5,,0,2005,5080
18.0,324.0,13.0,9046175.257229239,5,,0,2005,5080
75.0,5625.0,19.0,1869780.3189154924,3,,0,2005,1050
66.0,4356.0,14.0,1869780.3189154924,3,,0,2005,1050
94.0,8836.0,19.0,1869780.3189154924,3,,0,2005,1050
76.0,5776.0,8.0,267111.4741307846,1,,0,2005,150
55.0,3025.0,9.0,6143563.905008047,4,,0,2005,3450
52.0,2704.0,19.0,6143563.905008047,4,,0,2005,3450
26.0,676.0,17.0,6143563.905008047,4,,0,2005,3450
21.0,441.0,15.0,6143563.905008047,4,,0,2005,3450
56.0,3136.0,13.0,5876452.430877262,5,,0,2005,3300
49.0,2401.0,13.0,5876452.430877262,5,,0,2005,3300
18.0,324.0,11.0,5876452.430877262,5,,0,2005,3300
16.0,256.0,10.0,5876452.430877262,5,,0,2005,3300
78.0,6084.0,13.0,5876452.430877262,5,,0,2005,3300
46.0,2116.0,16.0,13889796.6548008,4,45.0,0,2005,7800
42.0,1764.0,16.0,13889796.6548008,4,27.0,0,2005,7800
22.0,484.0,15.0,13889796.6548008,4,,0,2005,7800
19.0,361.0,13.0,13889796.6548008,4,,0,2005,7800
66.0,4356.0,16.0,12821350.758277662,2,,0,2005,7200
64.0,4096.0,16.0,12821350.758277662,2,,0,2005,7200
37.0,1369.0,12.0,1068445.8965231385,3,60.0,0,2005,600
31.0,961.0,8.0,1068445.8965231385,3,0.0,0,2005,600
10.0,100.0,5.0,1068445.8965231385,3,,0,2005,600
47.0,2209.0,16.0,6232601.063051641,1,,0,2005,3500
32.0,1024.0,13.0,2047854.6350026822,3,54.0,0,2005,1150
25.0,625.0,13.0,2047854.6350026822,3,48.0,0,2005,1150
65.0,4225.0,11.0,2047854.6350026822,3,,0,2005,1150
28.0,784.0,9.0,1246520.2126103283,3,,0,2005,700
25.0,625.0,14.0,1246520.2126103283,3,,0,2005,700
,,,1246520.2126103283,3,,0,2005,700
35.0,1225.0,15.0,3935442.3855268937,1,,0,2005,2210
47.0,2209.0,13.0,3205337.6895694155,5,,0,2005,1800
44.0,1936.0,8.0,3205337.6895694155,5,,0,2005,1800
21.0,441.0,14.0,3205337.6895694155,5,,0,2005,1800
20.0,400.0,14.0,3205337.6895694155,5,,0,2005,1800
18.0,324.0,13.0,3205337.6895694155,5,,0,2005,1800
27.0,729.0,17.0,5324422.051006974,2,45.0,0,2005,2990
29.0,841.0,16.0,5324422.051006974,2,45.0,0,2005,2990
53.0,2809.0,19.0,6944898.3274004,4,,0,2005,3900
48.0,2304.0,19.0,6944898.3274004,4,,0,2005,3900
16.0,256.0,11.0,6944898.3274004,4,,0,2005,3900
13.0,169.0,8.0,6944898.3274004,4,,0,2005,3900
44.0,1936.0,19.0,5342229.482615693,5,,0,2005,3000
44.0,1936.0,19.0,5342229.482615693,5,,0,2005,3000
14.0,196.0,9.0,5342229.482615693,5,,0,2005,3000
11.0,121.0,6.0,5342229.482615693,5,,0,2005,3000
4.0,16.0,0.0,5342229.482615693,5,,0,2005,3000
46.0,2116.0,13.0,1068445.8965231385,2,,0,2005,600
19.0,361.0,13.0,1068445.8965231385,2,,0,2005,600
61.0,3721.0,8.0,2047854.6350026822,4,,0,2005,1150
44.0,1936.0,8.0,2047854.6350026822,4,,0,2005,1150
20.0,400.0,13.0,2047854.6350026822,4,,0,2005,1150
11.0,121.0,6.0,2047854.6350026822,4,,0,2005,1150
59.0,3481.0,,516415.51665285026,1,,0,2005,290
33.0,1089.0,13.0,3917634.9539181744,3,,0,2005,2200
60.0,3600.0,8.0,3917634.9539181744,3,,0,2005,2200
38.0,1444.0,13.0,3917634.9539181744,3,,0,2005,2200
74.0,5476.0,11.0,1068445.8965231385,1,,0,2005,600
44.0,1936.0,15.0,623260.1063051642,1,,0,2005,350
31.0,961.0,19.0,5253192.3245720975,1,,0,2005,2950
60.0,3600.0,13.0,3187530.2579606967,1,,0,2005,1790
74.0,5476.0,8.0,4505280.197005901,3,,0,2005,2530
68.0,4624.0,8.0,4505280.197005901,3,,0,2005,2530
88.0,7744.0,8.0,4505280.197005901,3,,0,2005,2530
25.0,625.0,18.0,2047854.6350026822,2,,0,2005,1150
29.0,841.0,18.0,2047854.6350026822,2,,0,2005,1150
33.0,1089.0,19.0,2804670.478373239,1,,0,2005,1575
52.0,2704.0,16.0,4986080.850441313,4,,0,2005,2800
23.0,529.0,15.0,4986080.850441313,4,,0,2005,2800
21.0,441.0,15.0,4986080.850441313,4,,0,2005,2800
27.0,729.0,16.0,4986080.850441313,4,,0,2005,2800
60.0,3600.0,16.0,6205889.915638563,4,,0,2005,3485
60.0,3600.0,13.0,6205889.915638563,4,,0,2005,3485
33.0,1089.0,,6205889.915638563,4,,0,2005,3485
28.0,784.0,13.0,6205889.915638563,4,,0,2005,3485
25.0,625.0,13.0,1388979.66548008,1,,0,2005,780
50.0,2500.0,16.0,3027263.373482226,3,,0,2005,1700
20.0,400.0,14.0,3027263.373482226,3,,0,2005,1700
16.0,256.0,13.0,3027263.373482226,3,,0,2005,1700
71.0,5041.0,18.0,747912.127566197,2,,0,2005,420
57.0,3249.0,19.0,747912.127566197,2,,0,2005,420
63.0,3969.0,13.0,1032831.0333057005,1,,0,2005,580
34.0,1156.0,13.0,4986080.850441313,2,63.0,0,2005,2800
28.0,784.0,11.0,4986080.850441313,2,45.0,0,2005,2800
74.0,5476.0,,548468.8935485445,1,,0,2005,308
94.0,8836.0,8.0,1478016.8235236749,1,,0,2005,830
75.0,5625.0,13.0,3575732.2670307704,2,,0,2005,2008
66.0,4356.0,13.0,3575732.2670307704,2,,0,2005,2008
60.0,3600.0,,6143563.905008047,8,,0,2005,3450
57.0,3249.0,8.0,6143563.905008047,8,,0,2005,3450
27.0,729.0,13.0,6143563.905008047,8,,0,2005,3450
25.0,625.0,,6143563.905008047,8,,0,2005,3450
18.0,324.0,13.0,6143563.905008047,8,,0,2005,3450
24.0,576.0,9.0,6143563.905008047,8,,0,2005,3450
5.0,25.0,1.0,6143563.905008047,8,,0,2005,3450
2.0,4.0,,6143563.905008047,8,,0,2005,3450
54.0,2916.0,15.0,3739560.637830985,4,,0,2005,2100
51.0,2601.0,13.0,3739560.637830985,4,,0,2005,2100
25.0,625.0,15.0,3739560.637830985,4,,0,2005,2100
24.0,576.0,15.0,3739560.637830985,4,,0,2005,2100
23.0,529.0,14.0,3739560.637830985,3,,0,2005,2100
26.0,676.0,19.0,3739560.637830985,3,,0,2005,2100
17.0,289.0,13.0,3739560.637830985,3,,0,2005,2100
